date,PortfolioValue
2013-07-15,2619650.418498018
2013-07-16,2619650.418498018
2013-07-17,2619650.418498018
2013-07-18,2619650.418498018
2013-07-19,2619650.418498018
2013-07-22,2619650.418498018
2013-07-23,2619650.418498018
2013-07-24,2619650.418498018
2013-07-25,2619650.418498018
2013-07-26,2619650.418498018
2013-07-29,2619650.418498018
2013-07-30,2619650.418498018
2013-07-31,2619650.418498018
2013-08-01,2619650.418498018
2013-08-02,2619650.418498018
2013-08-05,2619650.418498018
2013-08-06,2619650.418498018
2013-08-07,2619650.418498018
2013-08-08,2619650.418498018
2013-08-12,2619650.418498018
2013-08-13,2619650.418498018
2013-08-14,2619650.418498018
2013-08-16,2619650.418498018
2013-08-19,2619650.418498018
2013-08-20,2619650.418498018
2013-08-21,2619650.418498018
2013-08-22,2619650.418498018
2013-08-23,2619650.418498018
2013-08-26,2619650.418498018
2013-08-27,2619650.418498018
2013-08-28,2619650.418498018
2013-08-29,2619650.418498018
2013-08-30,2619650.418498018
2013-09-02,2619650.418498018
2013-09-03,2619650.418498018
2013-09-04,2619650.418498018
2013-09-05,2619650.418498018
2013-09-06,2619650.418498018
2013-09-10,2666793.480739061
2013-09-11,2660633.5525179305
2013-09-12,2622348.1394111407
2013-09-13,2635164.811136804
2013-09-16,2598840.518922433
2013-09-17,2603282.9473916683
2013-09-18,2651094.0106932614
2013-09-19,2739829.2119449046
2013-09-20,2709691.1772529986
2013-09-23,2636013.0942220804
2013-09-24,2636768.114899059
2013-09-25,2659699.2738740626
2013-09-26,2654896.7496597804
2013-09-27,2654896.7496597804
2013-09-30,2654896.7496597804
2013-10-01,2654896.7496597804
2013-10-03,2654896.7496597804
2013-10-04,2654896.7496597804
2013-10-07,2654896.7496597804
2013-10-08,2654896.7496597804
2013-10-09,2709021.9523657938
2013-10-10,2756953.664456065
2013-10-11,2734863.3296812177
2013-10-14,2715568.2567477454
2013-10-15,2715568.2567477454
2013-10-17,2715568.2567477454
2013-10-18,2715568.2567477454
2013-10-21,2715568.2567477454
2013-10-22,2715568.2567477454
2013-10-23,2715568.2567477454
2013-10-24,2715568.2567477454
2013-10-25,2715568.2567477454
2013-10-28,2715568.2567477454
2013-10-29,2715568.2567477454
2013-10-30,2715568.2567477454
2013-10-31,2754178.544463549
2013-11-01,2751613.98767477
2013-11-05,2745427.0670444216
2013-11-06,2735108.807766801
2013-11-07,2788688.0023568617
2013-11-08,2776348.956688615
2013-11-11,2761289.727324243
2013-11-12,2769447.8961921525
2013-11-13,2773643.8719961243
2013-11-14,2812850.6096325405
2013-11-18,2899472.3782732636
2013-11-19,2889980.295709006
2013-11-20,2868100.4236874958
2013-11-21,2826362.464175377
2013-11-22,2845324.357636078
2013-11-25,2901184.3036220297
2013-11-26,2945292.2773807445
2013-11-27,2927601.038463189
2013-11-28,2916659.11543479
2013-11-29,2946356.4391062637
2013-12-02,2988153.6617079214
2013-12-03,2968892.3720086673
